City,Temperature (F),Humitidy (%),Cloudiness (%),Wind Speed (mph),Lattitude,Longitude,Distance From Equator
berekum,82.22,68.0,64.0,5.7,7.45,-2.58,7.45
pudozh,58.37,85.0,44.0,9.28,61.81,36.54,61.81
waingapu,66.47,93.0,12.0,5.93,-9.65,120.26,9.65
vila franca do campo,75.2,60.0,75.0,12.75,37.72,-25.43,37.72
smithers,62.6,63.0,75.0,2.24,54.78,-127.17,54.78
ueckermunde,78.8,39.0,0.0,3.36,53.74,14.04,53.74
iqaluit,42.8,93.0,90.0,3.36,63.75,-68.52,63.75
la libertad,66.2,10.0,0.0,6.93,-16.38,-71.56,16.38
constantine,73.4,83.0,75.0,5.82,36.36,6.61,36.36
abu samrah,82.67,40.0,0.0,11.63,35.3,37.18,35.3
hovd,62.6,55.0,20.0,6.93,63.83,10.7,63.83
meybod,98.6,7.0,40.0,11.41,32.25,54.02,32.25
bambous virieux,69.8,64.0,20.0,5.82,-20.34,57.76,20.34
washougal,65.61,72.0,1.0,5.82,45.58,-122.35,45.58
dicabisagan,77.09,100.0,56.0,3.8,17.08,122.42,17.08
gat,95.0,50.0,75.0,4.7,14.69,-16.54,14.69
pevek,35.6,100.0,36.0,6.38,69.7,170.27,69.7
itaituba,91.4,55.0,40.0,2.91,-4.26,-55.99,4.26
juegang,81.32,100.0,0.0,9.17,32.31,121.18,32.31
arman,57.2,93.0,90.0,2.24,59.7,150.17,59.7
sinnamary,83.39,91.0,20.0,8.95,5.38,-52.96,5.38
nouadhibou,73.4,78.0,8.0,18.34,20.93,-17.03,20.93
changuinola,80.24,92.0,44.0,3.13,9.44,-82.52,9.44
thap than,73.85,91.0,44.0,5.7,15.46,99.89,15.46
sawakin,96.8,39.0,0.0,8.05,19.1,37.33,19.1
nara,82.4,74.0,90.0,17.22,34.68,135.8,34.68
vanimo,82.31,100.0,32.0,13.42,-2.67,141.3,2.67
saint anthony,65.57,42.0,1.0,9.17,43.97,-111.68,43.97
port elizabeth,88.11,62.0,1.0,4.7,39.31,-74.98,39.31
aden,85.73,82.0,0.0,16.22,12.79,45.03,12.79
praia da vitoria,73.4,73.0,75.0,8.84,38.73,-27.07,38.73
wadern,90.36,27.0,0.0,9.17,49.54,6.89,49.54
trapani,82.42,74.0,40.0,6.93,38.02,12.54,38.02
nexo,69.8,73.0,24.0,11.41,55.06,15.13,55.06
tabou,77.45,100.0,12.0,8.61,4.42,-7.36,4.42
kodiak,84.2,62.0,1.0,3.36,39.95,-94.76,39.95
marrakesh,109.4,12.0,20.0,10.29,31.63,-7.99,31.63
clarence town,53.6,54.0,0.0,19.46,-32.59,151.78,32.59
srednekolymsk,41.18,91.0,0.0,3.91,67.46,153.71,67.46
el sauzal,69.8,43.0,0.0,4.7,-24.3,-64.96,24.3
ust-nera,44.15,97.0,92.0,2.13,64.57,143.24,64.57
thompson,66.2,59.0,90.0,10.29,55.74,-97.86,55.74
bathsheba,87.8,62.0,40.0,25.28,13.22,-59.52,13.22
vao,63.32,62.0,44.0,13.42,59.1,26.19,59.1
coruripe,78.62,90.0,48.0,11.18,-10.12,-36.18,10.12
bandarbeyla,79.07,91.0,0.0,31.32,9.49,50.81,9.49
puerto quijarro,65.28,88.0,75.0,3.36,-19.0,-57.72,19.0
lillooet,71.6,46.0,1.0,4.7,50.69,-121.94,50.69
luwuk,77.18,87.0,20.0,6.49,-0.95,122.79,0.95
evans,67.75,68.0,90.0,6.15,40.38,-104.69,40.38
ponta do sol,76.1,73.0,32.0,4.59,-20.63,-46.0,20.63
lumeje,67.64,34.0,0.0,3.36,-11.56,20.78,11.56
sayat,96.8,28.0,0.0,16.11,38.78,63.88,38.78
zell am see,87.8,38.0,20.0,9.17,47.32,12.8,47.32
sechelt,71.58,56.0,40.0,2.24,49.47,-123.76,49.47
pochutla,84.42,74.0,75.0,5.59,15.74,-96.47,15.74
zhigansk,53.33,79.0,0.0,4.36,66.77,123.37,66.77
teyateyaneng,59.0,13.0,0.0,11.41,-29.15,27.74,29.15
havre-saint-pierre,69.8,88.0,90.0,10.29,50.23,-63.6,50.23
platanos,84.2,54.0,20.0,10.29,35.47,23.6,35.47
nashville,89.08,52.0,20.0,9.17,36.16,-86.77,36.16
lorengau,79.79,100.0,56.0,5.37,-2.02,147.27,2.02
biak,77.18,87.0,20.0,6.49,-0.91,122.88,0.91
bouna,82.58,66.0,80.0,7.16,9.27,-3.0,9.27
avarua,73.4,78.0,75.0,9.17,-21.21,-159.78,21.21
alekseyevka,80.6,51.0,20.0,2.24,53.25,50.49,53.25
turayf,93.2,17.0,0.0,18.34,31.68,38.65,31.68
millau,91.4,29.0,0.0,9.17,44.1,3.08,44.1
taga,84.2,74.0,75.0,6.93,35.21,136.34,35.21
nikolskoye,69.8,49.0,0.0,17.9,59.7,30.79,59.7
petropavlovsk-kamchatskiy,48.2,100.0,76.0,2.24,53.05,158.65,53.05
bud,61.38,63.0,0.0,5.82,62.91,6.91,62.91
mindelo,70.86,73.0,75.0,6.93,41.31,-8.72,41.31
daru,76.28,87.0,92.0,6.38,7.99,-10.85,7.99
melfi,87.78,43.0,40.0,8.05,41.0,15.66,41.0
mae sot,72.95,97.0,76.0,3.13,16.71,98.57,16.71
saint george,86.0,35.0,20.0,8.05,39.45,22.34,39.45
ambilobe,71.15,68.0,0.0,6.71,-13.19,49.05,13.19
sitka,93.2,42.0,12.0,16.89,37.17,-99.65,37.17
lavrentiya,44.15,99.0,76.0,1.57,65.58,-170.99,65.58
thinadhoo,82.67,100.0,80.0,9.17,0.53,72.93,0.53
san carlos,89.96,58.0,80.0,10.07,9.66,-68.59,9.66
kaeo,39.65,78.0,8.0,4.14,-35.1,173.78,35.1
luderitz,55.22,86.0,0.0,9.4,-26.65,15.16,26.65
najran,96.8,13.0,40.0,6.93,17.54,44.22,17.54
monte aprazivel,64.4,82.0,90.0,9.17,-20.77,-49.71,20.77
karakol,59.9,55.0,36.0,1.23,42.49,78.39,42.49
greytown,57.2,24.0,0.0,4.81,-29.06,30.59,29.06
rafaela,72.41,50.0,0.0,13.09,-31.25,-61.49,31.25
victoria,74.17,94.0,75.0,1.12,5.28,115.24,5.28
beregovoy,79.25,79.0,0.0,9.51,46.66,38.11,46.66
portland,64.83,72.0,75.0,5.82,45.52,-122.67,45.52
dukat,68.09,66.0,8.0,1.9,42.44,22.31,42.44
kouango,78.08,76.0,0.0,2.91,4.99,19.98,4.99
huarmey,70.7,62.0,8.0,4.36,-10.07,-78.15,10.07
burgeo,60.17,95.0,92.0,11.86,47.61,-57.61,47.61
juquia,61.61,100.0,92.0,3.91,-24.32,-47.63,24.32
ternuvate,84.2,42.0,0.0,6.71,47.83,36.13,47.83
husavik,63.59,100.0,0.0,4.36,50.56,-96.99,50.56
narsaq,59.0,51.0,20.0,3.36,60.91,-46.05,60.91
pisco,62.6,77.0,90.0,5.82,-13.71,-76.2,13.71
belmonte,94.28,19.0,44.0,8.61,40.36,-7.35,40.36
tete,70.61,54.0,0.0,3.69,-16.16,33.59,16.16
qaqortoq,59.0,51.0,20.0,3.36,60.72,-46.03,60.72
ryotsu,75.65,100.0,76.0,8.61,38.08,138.43,38.08
bushehr,99.14,53.0,0.0,6.93,28.97,50.84,28.97
palmerston,86.0,55.0,1.0,16.11,43.83,-80.85,43.83
vostok,54.23,90.0,0.0,1.9,46.45,135.83,46.45
longyearbyen,50.0,71.0,75.0,14.99,78.22,15.63,78.22
padang,77.72,100.0,56.0,3.13,-0.92,100.36,0.92
roald,62.08,72.0,0.0,12.75,62.58,6.12,62.58
kaitangata,27.68,57.0,0.0,4.25,-46.28,169.85,46.28
rio gallegos,33.8,74.0,40.0,5.14,-51.62,-69.22,51.62
ampanihy,67.28,34.0,0.0,9.06,-24.69,44.75,24.69
wewak,73.4,100.0,92.0,2.57,-3.55,143.63,3.55
kem,64.76,97.0,92.0,2.57,2.68,33.77,2.68
pusad,71.33,97.0,88.0,9.73,19.91,77.57,19.91
tiznit,79.07,81.0,0.0,3.8,29.7,-9.73,29.7
foam lake,71.69,72.0,0.0,10.85,51.65,-103.53,51.65
crixas,89.69,49.0,0.0,4.59,-14.55,-49.97,14.55
wajir,86.0,37.0,0.0,6.93,1.75,40.07,1.75
chama,71.6,31.0,0.0,12.97,-11.22,33.16,11.22
kindu,82.4,51.0,0.0,2.68,-2.95,25.92,2.95
clyde river,50.0,61.0,20.0,16.11,70.47,-68.59,70.47
palmer,51.8,66.0,40.0,14.99,-34.85,139.16,34.85
hamilton,84.2,66.0,20.0,6.93,32.3,-64.78,32.3
khorinsk,58.73,82.0,24.0,4.92,52.16,109.78,52.16
paranaiba,71.33,75.0,92.0,9.62,-19.68,-51.19,19.68
tura,76.82,96.0,8.0,2.13,25.52,90.21,25.52
kudahuvadhoo,84.02,99.0,68.0,12.41,2.67,72.89,2.67
los llanos de aridane,80.6,74.0,0.0,17.22,28.66,-17.92,28.66
fort nelson,62.6,77.0,90.0,8.05,58.81,-122.69,58.81
putina,53.6,20.0,40.0,5.82,-14.91,-69.87,14.91
krasnoyarskaya,79.79,44.0,0.0,6.15,47.65,42.04,47.65
saint-joseph,88.54,58.0,0.0,5.82,43.56,6.97,43.56
lethem,87.71,72.0,20.0,9.17,3.38,-59.8,3.38
shakhta,84.2,37.0,20.0,8.95,48.64,22.31,48.64
upernavik,41.63,88.0,92.0,29.97,72.79,-56.15,72.79
damietta,86.0,66.0,0.0,9.17,31.42,31.81,31.42
yerbogachen,55.85,96.0,100.0,7.38,61.28,108.01,61.28
liyang,78.62,95.0,0.0,2.8,31.42,119.48,31.42
manuk mangkaw,76.82,100.0,56.0,2.46,4.8,119.85,4.8
sassandra,77.63,99.0,0.0,9.73,4.95,-6.09,4.95
oranjemund,59.18,96.0,0.0,9.62,-28.55,16.43,28.55
turukhansk,48.83,89.0,56.0,4.59,65.8,87.96,65.8
sao filipe,79.43,96.0,20.0,9.51,14.9,-24.5,14.9
yurty,47.3,88.0,0.0,2.24,56.05,97.64,56.05
ancud,47.12,99.0,100.0,7.27,-41.87,-73.83,41.87
el dovio,76.14,69.0,40.0,1.68,4.51,-76.24,4.51
moron,86.95,58.0,75.0,6.26,10.49,-68.2,10.49
dragomiresti,75.29,56.0,64.0,3.24,44.92,25.33,44.92
burnie,48.38,100.0,92.0,24.38,-41.05,145.91,41.05
alice springs,37.4,40.0,0.0,6.93,-23.7,133.88,23.7
kabinda,77.54,39.0,0.0,4.36,-6.14,24.49,6.14
wanning,86.0,30.0,12.0,6.93,48.64,13.53,48.64
khromtau,71.87,55.0,0.0,4.59,50.26,58.44,50.26
uyaan,69.17,97.0,76.0,4.36,7.86,124.04,7.86
carballo,68.79,73.0,40.0,5.82,43.21,-8.69,43.21
kyrylivka,78.35,57.0,12.0,5.03,47.65,37.3,47.65
necochea,65.03,73.0,8.0,8.05,-38.55,-58.74,38.55
rabat,95.0,24.0,20.0,13.87,34.02,-6.83,34.02
bella union,84.02,53.0,0.0,3.69,8.5,-73.35,8.5
touros,82.4,73.0,0.0,15.99,-5.2,-35.46,5.2
porto novo,59.0,93.0,90.0,5.82,-23.68,-45.44,23.68
sherlovaya gora,59.27,99.0,56.0,2.91,50.53,116.31,50.53
phenix city,90.86,63.0,75.0,3.36,32.47,-85.0,32.47
ostrovnoy,48.47,81.0,92.0,10.07,68.05,39.51,68.05
jaslo,77.0,41.0,0.0,9.17,49.75,21.47,49.75
effium,76.1,90.0,92.0,6.82,6.63,8.06,6.63
hakkari,60.8,72.0,75.0,12.75,61.34,23.75,61.34
namatanai,77.09,100.0,76.0,6.15,-3.66,152.44,3.66
lazaro cardenas,80.6,32.0,20.0,4.7,28.39,-105.62,28.39
morant bay,87.8,66.0,20.0,6.93,17.88,-76.41,17.88
tautira,75.2,69.0,20.0,6.93,-17.73,-149.15,17.73
haines junction,56.57,60.0,88.0,3.02,60.75,-137.51,60.75
yeppoon,66.2,88.0,90.0,1.12,-23.13,150.74,23.13
poya,67.19,100.0,56.0,6.38,-21.35,165.16,21.35
brae,57.99,82.0,20.0,16.11,60.4,-1.35,60.4
mtwara,74.93,100.0,0.0,7.05,-10.28,40.18,10.28
honiara,73.4,94.0,20.0,4.7,-9.43,159.96,9.43
marawi,69.17,97.0,76.0,4.36,8.0,124.29,8.0
chicama,62.6,88.0,90.0,8.05,-7.84,-79.15,7.84
sanmenxia,75.38,95.0,32.0,2.35,34.77,111.19,34.77
dingle,74.57,98.0,88.0,9.95,11.0,122.67,11.0
zhezkazgan,63.77,98.0,92.0,1.34,47.8,67.71,47.8
tera,82.4,78.0,40.0,12.75,34.97,32.42,34.97
kahului,72.64,78.0,40.0,18.34,20.89,-156.47,20.89
vestmanna,51.8,100.0,92.0,14.99,62.16,-7.17,62.16
oberstdorf,80.38,54.0,75.0,2.24,47.41,10.28,47.41
lasa,82.4,78.0,40.0,12.75,34.92,32.53,34.92
pandan,81.59,100.0,80.0,24.72,11.72,122.09,11.72
beringovskiy,50.27,100.0,92.0,6.71,63.05,179.32,63.05
saskylakh,52.43,71.0,0.0,9.4,71.97,114.09,71.97
port blair,82.13,100.0,92.0,26.51,11.67,92.75,11.67
pangkalanbuun,71.96,92.0,8.0,3.36,-2.68,111.62,2.68
viedma,67.64,44.0,92.0,17.22,-40.81,-62.99,40.81
lokosovo,55.85,84.0,44.0,9.17,61.13,74.84,61.13
mehamn,48.2,81.0,75.0,18.34,71.03,27.85,71.03
mandalgovi,57.92,99.0,100.0,9.17,45.76,106.27,45.76
vallenar,69.17,57.0,0.0,2.8,-28.58,-70.76,28.58
prince rupert,60.8,87.0,1.0,2.24,54.32,-130.32,54.32
talnakh,47.39,89.0,100.0,5.03,69.49,88.39,69.49
novoagansk,54.05,84.0,76.0,6.38,61.94,76.66,61.94
ca mau,81.68,87.0,88.0,8.72,9.18,105.15,9.18
xining,53.78,96.0,76.0,2.35,36.62,101.77,36.62
lukovetskiy,60.8,82.0,75.0,4.47,64.29,41.92,64.29
puqi,81.23,90.0,44.0,2.46,29.72,113.88,29.72
mozhga,71.33,57.0,80.0,8.16,56.44,52.22,56.44
namibe,65.03,99.0,0.0,12.75,-15.19,12.15,15.19
arroio grande,59.72,96.0,0.0,3.36,-32.24,-53.09,32.24
baykit,44.51,87.0,44.0,3.02,61.68,96.39,61.68
alexandria,87.35,62.0,1.0,4.7,31.31,-92.44,31.31
ilhabela,61.88,100.0,92.0,5.14,-23.78,-45.36,23.78
alofi,69.8,77.0,32.0,6.93,-19.06,-169.92,19.06
ulladulla,51.8,50.0,0.0,17.22,-35.36,150.48,35.36
san luis,74.48,26.0,0.0,13.42,-33.3,-66.34,33.3
yarim,58.19,87.0,48.0,2.57,14.3,44.38,14.3
cafarnaum,85.91,34.0,0.0,13.65,-11.69,-41.47,11.69
grantham,82.92,34.0,0.0,9.17,52.91,-0.64,52.91
shelburne,87.85,51.0,1.0,10.29,44.08,-80.2,44.08
iwaki,72.68,100.0,92.0,10.63,37.05,140.89,37.05
khani,78.8,78.0,75.0,10.29,41.96,42.96,41.96
karratha,48.74,28.0,0.0,9.73,-20.74,116.85,20.74
shu,83.03,28.0,0.0,12.19,43.6,73.76,43.6
hobyo,76.73,75.0,0.0,20.47,5.35,48.53,5.35
dire,52.7,99.0,92.0,3.13,9.18,38.92,9.18
la ronge,73.4,60.0,75.0,12.75,55.1,-105.3,55.1
harbour breton,60.08,95.0,92.0,15.66,47.48,-55.8,47.48
srandakan,62.06,95.0,0.0,2.46,-7.94,110.25,7.94
buraydah,107.6,16.0,0.0,16.11,26.33,43.97,26.33
meadow lake,73.4,60.0,5.0,13.87,54.13,-108.44,54.13
konstantinovka,74.3,73.0,8.0,5.14,47.99,28.86,47.99
quatre cocos,69.8,64.0,20.0,5.82,-20.21,57.76,20.21
okahandja,66.47,28.0,0.0,11.63,-21.98,16.91,21.98
filadelfia,74.03,71.0,12.0,8.72,-22.35,-60.04,22.35
tonantins,80.06,82.0,44.0,6.71,-2.86,-67.77,2.86
yining,71.42,94.0,8.0,2.46,29.04,114.56,29.04
halifax,82.4,58.0,20.0,6.93,44.65,-63.58,44.65
laguna,84.2,70.0,20.0,4.7,27.52,-110.01,27.52
hadishahr,86.0,35.0,20.0,13.87,38.84,45.66,38.84
esfarayen,82.4,54.0,20.0,13.87,37.08,57.51,37.08
noyabrsk,53.42,75.0,76.0,11.18,63.2,75.45,63.2
nijar,86.0,62.0,0.0,4.7,36.97,-2.21,36.97
broome,86.04,42.0,20.0,8.05,52.47,1.45,52.47
ahipara,42.8,100.0,0.0,3.13,-35.17,173.16,35.17
bireun,84.47,100.0,44.0,9.17,5.2,96.7,5.2
ucluelet,57.2,100.0,90.0,2.24,48.94,-125.55,48.94
high level,60.8,87.0,75.0,3.36,58.52,-117.13,58.52
weinan,82.4,78.0,0.0,4.47,34.5,109.46,34.5
